ID,Title,Author,Year,Format,File
1,LITERATURE REVIEW : HUBUNGAN KOORDINASI TERHADAP KETERAMPILAN MENGGIRING BOLA PADA PEMAIN SEPAK BOLA,Dewi Suci,2021,PDF,OjanAplikasi
2,Pelaksanaan Program Pemberian Makanan Sehat Anak Usia Dini : Studi Evaluasi Program CIPP,Dea Ismi Yeni,2020,PDF,1.pdf
3,Literature Review: Daun Kelor (Moringa oleifera) sebagai Makanan Sehat Pelengkap Nutrisi 1000 Hari Pertama Kehidupan,Fauziah Hanif,2022,PDF,2.pdf
4,Pengembangan Media PIRAMASE (Piramida Makanan Sehat) bagi Peserta Didik di Sekolah Dasar,Muhammad Tahir,2023,PDF,3.pdf
5,PRAKTIK EKONOMI POLITIK MEDIA PADA TAYANGAN LIGA INGGRIS DI TVRI,Makroen Sanjaya,2020,PDF,4.pdf
6,FAKTOR-FAKTOR YANG BERHUBUNGAN DENGAN PERILAKU MAKAN SEHAT PADA REMAJA SMA DI KOTA SEMARANG,Zahroh Shaluhiyah,2020,PDF,5.pdf
7,Analisis Perancangan Sistem Informaasi,Nur Aziz,2022,PDF,6.pdf
8,Peran Guru dan Orang Tua dalam Pembiasaan Makan Makanan Sehat pada Anak Usia Dini,Kristi Nuraini,2023,PDF,7.pdf
9,Sistem Informasi Manajemen,Ahmad Yusuf,2021,PDF,8.pdf
10,Pengaruh Gaya Hidup, Kualitas Produk, dan Promosi terhadap Keputusan Pembelian Produk Makanan Sehat Soyjoy,Novita Sukmawati,2020,PDF,9.pdf
11,Beyond the Booksefl,Muhammad Fauzan,2025,PDF,TUGAS RANGKUMAN VR M.Fauzan 124.pdf
